,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
152,Procurement,region_2,Bachelor's,m,sourcing,1,25,5.0,3,1,0,70,1
153,Operations,region_22,Master's & above,m,sourcing,1,40,4.0,4,1,0,57,0
154,Operations,region_13,Master's & above,m,other,1,43,3.0,7,1,0,56,1
155,Operations,region_13,Bachelor's,m,other,1,36,1.0,5,0,0,56,0
156,Legal,region_29,Bachelor's,m,sourcing,1,29,3.0,3,0,0,63,0
157,Finance,region_13,Bachelor's,m,sourcing,2,35,3.0,2,0,0,56,0
158,Analytics,region_25,Master's & above,m,other,1,34,5.0,2,0,0,84,0
159,Sales & Marketing,region_16,Bachelor's,f,sourcing,1,32,4.0,4,1,0,45,0
160,HR,region_4,Bachelor's,m,other,1,27,1.0,1,1,0,50,0
161,Technology,region_26,Bachelor's,m,sourcing,1,29,3.0,5,0,0,75,0
162,Sales & Marketing,region_5,Bachelor's,m,sourcing,1,34,1.0,4,0,0,48,0
163,Procurement,region_2,Master's & above,m,sourcing,1,37,5.0,7,1,0,70,0
164,Procurement,region_22,Bachelor's,f,other,1,33,3.0,3,1,0,73,0
165,Procurement,region_2,Master's & above,f,other,1,33,5.0,4,1,0,67,0
166,Sales & Marketing,region_16,Bachelor's,f,other,1,39,1.0,8,0,0,45,0
167,Technology,region_23,Master's & above,m,other,1,34,4.0,7,0,0,82,0
168,Technology,region_22,Bachelor's,m,other,2,32,4.0,6,0,0,84,0
169,Sales & Marketing,region_7,Master's & above,m,other,1,34,4.0,6,0,0,53,0
170,Finance,region_12,Bachelor's,m,other,1,29,5.0,6,1,0,61,0
171,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,28,1.0,2,0,0,50,0
172,Technology,region_7,Bachelor's,f,other,1,28,2.0,5,0,0,75,0
173,Procurement,region_2,Master's & above,f,other,2,35,3.0,9,0,0,70,0
174,Technology,region_2,Bachelor's,f,other,2,40,3.0,3,0,0,86,0
175,Sales & Marketing,region_2,Bachelor's,f,other,2,27,2.0,4,0,0,54,0
176,Procurement,region_22,Bachelor's,f,other,3,26,3.0,3,1,0,70,0
177,Operations,region_2,Bachelor's,m,sourcing,1,43,2.0,12,0,0,57,0
178,Finance,region_26,Bachelor's,m,other,1,23,1.0,1,0,0,61,0
179,Analytics,region_25,Bachelor's,m,sourcing,1,29,5.0,6,1,0,84,0
180,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,43,3.0,15,0,0,51,0
181,Sales & Marketing,region_2,Bachelor's,m,sourcing,3,27,4.0,4,0,0,49,0
182,Procurement,region_27,Bachelor's,m,sourcing,1,26,4.0,4,1,0,70,0
183,Procurement,region_13,Bachelor's,f,other,1,31,5.0,5,1,0,72,0
184,Operations,region_7,Bachelor's,m,other,1,40,4.0,11,0,0,58,0
185,Operations,region_15,Bachelor's,f,other,2,39,5.0,12,1,0,55,0
186,Operations,region_2,Bachelor's,f,other,2,30,3.0,6,0,0,57,0
187,Technology,region_2,Master's & above,m,other,1,47,4.0,4,1,0,77,0
188,Sales & Marketing,region_17,Bachelor's,m,other,1,34,4.0,7,1,0,48,1
189,Operations,region_2,Bachelor's,f,other,1,33,4.0,9,0,0,64,0
190,Sales & Marketing,region_23,Master's & above,m,other,1,41,5.0,7,0,0,51,0
191,Technology,region_7,Bachelor's,m,other,1,29,1.0,4,0,0,80,0
192,Analytics,region_31,Bachelor's,f,other,1,32,3.0,4,0,0,86,0
193,Procurement,region_7,Master's & above,f,other,1,47,5.0,9,0,0,68,0
194,Operations,region_27,Bachelor's,m,other,1,35,4.0,3,0,0,65,0
195,Technology,region_22,Bachelor's,m,other,1,27,4.0,2,0,0,75,0
196,Analytics,region_32,Bachelor's,m,other,1,29,1.0,3,0,0,81,0
197,Sales & Marketing,region_20,Bachelor's,m,sourcing,2,36,3.0,9,0,0,49,0
198,Sales & Marketing,region_15,Bachelor's,m,other,2,35,1.0,8,0,0,39,0
199,Procurement,region_2,Bachelor's,f,sourcing,2,34,3.0,2,0,0,70,0
200,Sales & Marketing,region_23,Master's & above,f,sourcing,1,34,4.0,5,1,1,94,1
201,Operations,region_2,Master's & above,m,sourcing,1,39,3.0,2,1,0,60,0
202,Sales & Marketing,region_25,Bachelor's,m,other,1,26,5.0,2,1,0,51,0
203,Operations,region_31,Bachelor's,f,sourcing,1,30,5.0,4,0,0,56,0
204,Operations,region_16,Bachelor's,f,other,1,31,4.0,2,0,0,62,0
205,HR,region_2,Master's & above,m,sourcing,1,44,5.0,6,0,0,48,0
206,Sales & Marketing,region_1,Bachelor's,m,other,1,38,3.0,4,1,0,49,0
207,Technology,region_26,Bachelor's,m,other,1,40,1.0,3,0,0,78,0
208,Legal,region_2,Master's & above,m,sourcing,1,50,5.0,6,0,1,58,0
209,Procurement,region_19,Master's & above,m,other,1,44,3.0,12,0,0,70,0
210,Procurement,region_2,Below Secondary,f,other,1,23,1.0,2,0,0,69,0
211,Sales & Marketing,region_7,Master's & above,f,sourcing,1,36,1.0,2,0,0,53,0
212,Analytics,region_27,Bachelor's,m,sourcing,1,25,1.0,4,0,0,80,0
213,Operations,region_28,Bachelor's,m,sourcing,1,34,5.0,4,1,0,58,0
214,Analytics,region_4,Bachelor's,m,sourcing,1,28,1.0,1,0,0,85,0
215,Analytics,region_1,Bachelor's,m,other,2,30,5.0,6,1,0,81,0
216,Procurement,region_12,Bachelor's,m,sourcing,1,35,1.0,8,0,0,67,0
217,Analytics,region_6,Bachelor's,m,sourcing,1,33,4.0,8,0,0,86,0
218,Analytics,region_13,Master's & above,m,other,1,30,3.0,4,1,0,80,0
219,Analytics,region_26,Bachelor's,m,other,2,27,5.0,3,1,0,85,0
220,Procurement,region_2,Bachelor's,m,other,4,29,1.0,1,0,0,68,0
221,Operations,region_2,Bachelor's,m,sourcing,1,43,3.0,3,0,0,58,0
222,Analytics,region_22,Bachelor's,m,other,2,28,3.0,5,1,0,86,0
223,Procurement,region_17,Bachelor's,m,other,1,31,5.0,3,1,0,68,0
224,Operations,region_2,Bachelor's,f,other,1,43,4.0,12,0,0,58,0
225,Operations,region_4,Bachelor's,f,other,1,35,5.0,9,1,0,60,0
226,Sales & Marketing,region_5,Bachelor's,m,other,2,35,3.0,9,0,0,49,0
227,Operations,region_2,Master's & above,m,other,1,50,3.0,8,1,0,59,0
228,HR,region_17,Bachelor's,f,other,1,26,4.0,3,0,0,50,0
229,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,32,3.0,5,1,0,52,0
230,Operations,region_13,Master's & above,f,other,1,38,5.0,2,1,1,93,1
231,Sales & Marketing,region_26,Bachelor's,m,other,1,22,4.0,2,0,0,51,0
232,HR,region_20,Bachelor's,m,other,1,28,1.0,1,1,0,52,0
233,Procurement,region_14,Bachelor's,f,sourcing,1,37,3.0,9,0,0,69,0
234,Analytics,region_2,Bachelor's,m,sourcing,2,54,3.0,9,1,0,86,0
235,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,36,3.0,8,0,0,51,0
236,Technology,region_6,Bachelor's,m,other,1,35,3.0,8,0,0,78,0
237,Analytics,region_29,Bachelor's,m,other,1,39,3.0,4,1,0,85,0
238,Operations,region_12,Bachelor's,f,sourcing,1,31,5.0,4,1,0,63,0
239,Operations,region_31,Bachelor's,m,other,2,38,3.0,7,1,1,60,0
240,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,28,1.0,2,0,0,48,0
241,Sales & Marketing,region_7,Bachelor's,m,sourcing,3,26,2.0,3,0,0,52,0
242,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,29,1.0,1,0,0,54,0
243,Analytics,region_20,Bachelor's,m,sourcing,1,30,3.0,4,0,0,84,0
244,Operations,region_22,Bachelor's,m,sourcing,2,37,2.0,4,1,0,57,1
245,R&D,region_2,Bachelor's,m,other,1,25,1.0,1,1,0,76,0
246,Technology,region_22,Bachelor's,m,referred,1,26,4.0,2,0,0,82,0
247,Technology,region_7,Bachelor's,m,other,1,31,4.0,4,0,0,78,0
248,Technology,region_14,Bachelor's,f,other,1,38,5.0,7,1,0,82,0
249,Sales & Marketing,region_13,Bachelor's,m,other,1,39,4.0,9,0,0,49,0
250,Sales & Marketing,region_4,Bachelor's,m,other,1,30,5.0,4,0,1,50,0
251,Procurement,region_15,Master's & above,f,other,1,34,5.0,8,1,0,67,0
252,Procurement,region_23,Master's & above,f,other,1,33,3.0,5,1,0,72,0
253,Technology,region_2,Bachelor's,f,other,1,29,5.0,3,1,0,78,0
254,Operations,region_2,Bachelor's,m,sourcing,1,28,4.0,2,1,0,61,0
255,Finance,region_22,Bachelor's,m,sourcing,1,24,1.0,1,0,0,56,0
256,Analytics,region_22,Bachelor's,m,other,2,26,4.0,2,1,0,87,0
257,Legal,region_22,Bachelor's,m,sourcing,1,34,5.0,4,0,0,64,0
258,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,35,3.0,7,0,0,46,0
259,Technology,region_13,Master's & above,m,other,1,43,3.0,14,0,0,79,0
260,Sales & Marketing,region_15,Bachelor's,m,other,1,34,1.0,8,0,0,39,0
261,Technology,region_7,Master's & above,f,other,2,38,3.0,10,0,0,88,0
262,Operations,region_7,Bachelor's,f,other,1,34,1.0,5,0,0,54,0
263,Operations,region_22,Bachelor's,m,sourcing,1,41,4.0,4,0,0,63,0
264,Finance,region_7,Bachelor's,m,sourcing,2,29,1.0,4,0,0,61,0
265,Operations,region_2,Bachelor's,m,other,1,33,4.0,3,0,0,61,0
266,Sales & Marketing,region_2,Master's & above,f,other,1,41,4.0,5,1,0,48,0
267,Operations,region_2,Master's & above,m,other,3,38,3.0,11,0,0,57,0
268,Procurement,region_2,Master's & above,f,other,2,54,4.0,23,0,0,66,0
269,Sales & Marketing,region_13,Master's & above,f,sourcing,2,34,2.0,8,0,0,49,0
270,R&D,region_2,Bachelor's,m,other,2,26,5.0,3,1,0,87,0
271,Operations,region_7,Bachelor's,f,sourcing,1,35,5.0,3,0,0,59,0
272,Legal,region_2,Below Secondary,m,other,1,28,1.0,1,0,0,62,0
273,Operations,region_33,Master's & above,m,other,1,36,3.0,4,0,0,60,0
274,Technology,region_5,Bachelor's,m,other,1,45,3.0,15,0,0,87,0
275,Procurement,region_7,Master's & above,m,other,1,38,4.0,7,0,0,66,0
276,Sales & Marketing,region_27,Bachelor's,f,other,1,26,2.0,4,0,0,47,0
277,Analytics,region_27,Bachelor's,m,sourcing,1,31,3.0,4,0,0,85,0
278,Analytics,region_34,Bachelor's,m,sourcing,1,32,3.0,7,0,0,87,0
279,Analytics,region_6,Bachelor's,m,sourcing,1,29,4.0,4,0,0,78,0
280,Sales & Marketing,region_2,Bachelor's,f,other,1,40,3.0,12,0,0,50,0
281,Technology,region_2,Bachelor's,m,referred,2,29,4.0,6,0,0,75,0
282,Analytics,region_28,Bachelor's,m,other,2,31,5.0,7,1,0,87,0
283,Finance,region_16,Bachelor's,m,other,1,32,5.0,6,1,0,58,0
284,Operations,region_17,Bachelor's,m,other,1,42,5.0,11,0,0,67,0
285,Procurement,region_15,Bachelor's,f,sourcing,1,30,5.0,3,1,0,65,0
286,Procurement,region_16,Bachelor's,f,other,1,24,3.0,2,1,0,70,0
287,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,3.0,7,0,0,56,0
288,Technology,region_5,Bachelor's,f,sourcing,2,32,1.0,3,0,0,80,0
289,HR,region_2,Bachelor's,f,sourcing,1,22,3.0,2,0,0,47,0
290,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,44,5.0,14,0,0,48,0
291,Operations,region_16,Bachelor's,m,other,2,39,3.0,9,0,0,58,0
292,Technology,region_7,Bachelor's,f,other,1,46,4.0,17,0,0,85,0
293,Technology,region_15,Bachelor's,m,other,1,29,2.0,5,0,0,77,0
294,Finance,region_7,Bachelor's,m,other,1,26,1.0,3,0,0,59,0
295,Operations,region_23,Bachelor's,m,other,1,35,4.0,5,0,0,61,0
296,Procurement,region_2,Bachelor's,f,other,1,29,4.0,2,1,0,95,1
297,Technology,region_13,Bachelor's,m,sourcing,1,30,2.0,9,0,0,79,0
298,Sales & Marketing,region_7,Bachelor's,m,other,1,45,4.0,5,0,0,50,0
299,Sales & Marketing,region_15,Bachelor's,f,other,1,30,1.0,6,0,0,47,0
300,Finance,region_32,Bachelor's,m,sourcing,1,28,2.0,4,0,0,59,0
301,Technology,region_2,Master's & above,m,sourcing,1,46,5.0,10,1,0,76,0
302,Procurement,region_7,Bachelor's,m,sourcing,1,27,2.0,2,0,0,69,0
303,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,34,2.0,5,0,0,47,0
304,Analytics,region_19,Bachelor's,m,sourcing,2,32,5.0,3,1,0,86,0
305,Operations,region_22,Bachelor's,f,other,1,35,5.0,10,0,0,63,0
306,Procurement,region_27,Bachelor's,m,other,1,36,4.0,3,1,0,66,0
307,Procurement,region_2,Master's & above,f,other,1,58,1.0,13,0,0,70,0
308,Finance,region_31,Bachelor's,m,other,1,29,4.0,4,0,0,57,0
309,Procurement,region_2,Bachelor's,f,referred,1,33,3.0,3,1,0,67,0
310,Operations,region_16,Bachelor's,f,other,1,32,5.0,6,0,0,62,0
311,Legal,region_22,Below Secondary,m,other,1,25,5.0,2,1,0,59,0
312,Procurement,region_13,Bachelor's,m,other,4,41,2.0,9,0,0,68,0
313,Procurement,region_12,Bachelor's,f,other,1,25,1.0,1,1,0,69,0
314,Analytics,region_2,Master's & above,m,other,1,50,1.0,7,0,1,79,0
315,Sales & Marketing,region_26,Bachelor's,m,other,1,30,1.0,7,0,0,53,0
316,Technology,region_24,Bachelor's,m,sourcing,1,28,1.0,1,0,0,81,0
317,Analytics,region_20,Master's & above,m,other,1,40,5.0,5,0,1,83,1
318,Finance,region_2,Below Secondary,f,other,1,26,3.0,2,0,0,61,0
319,Technology,region_13,Bachelor's,m,other,1,35,5.0,8,1,0,81,0
320,Sales & Marketing,region_7,Master's & above,m,other,1,37,3.0,7,1,0,52,0
321,Operations,region_22,Master's & above,m,other,1,34,3.0,3,0,0,75,1
322,Operations,region_8,Bachelor's,m,sourcing,1,25,3.0,2,0,0,57,0
323,Sales & Marketing,region_2,Bachelor's,m,other,1,22,5.0,2,0,0,62,1
324,Procurement,region_2,Bachelor's,f,other,2,26,5.0,2,1,0,68,1
325,Technology,region_2,Bachelor's,f,other,1,31,4.0,7,1,0,80,0
326,Finance,region_2,Bachelor's,m,sourcing,4,31,5.0,3,1,0,60,0
327,Analytics,region_25,Bachelor's,m,sourcing,1,32,3.0,6,1,0,86,0
328,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,36,5.0,8,0,0,48,0
329,Technology,region_2,Bachelor's,f,sourcing,1,57,3.0,19,0,0,81,0
330,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,42,4.0,9,0,0,51,0
331,Sales & Marketing,region_20,Bachelor's,m,other,1,28,3.0,3,0,0,48,0
